file,field,definition,missing_values
participants.csv,participant_code,本轮匿名代号；与既有 P001–P106 一致，原始 pid 映射仅见本地 audit。,0
participants.csv,batch_id,july=7月；sep08=9月8日；sep10_12=9月10/12日。保留采集批次，不能据此分离日期、浏览器、色深的因果作用。,0
participants.csv,vision_correction,glasses=框架眼镜；contacts=隐形眼镜；none=无矫正。,0
participants.csv,typing_order,ABBA 或 BAAB，A=control、B=masked。,0
participants.csv,rating_order_index,六阶平衡拉丁方行索引，0–5。,0
rating_participant_wide.csv,participant_code,本轮匿名代号；与既有 P001–P106 一致，原始 pid 映射仅见本地 audit。,0
rating_participant_wide.csv,batch_id,july=7月；sep08=9月8日；sep10_12=9月10/12日。保留采集批次，不能据此分离日期、浏览器、色深的因果作用。,0
rating_participant_wide.csv,n3_mask_noise_readability,条件 n3_mask_noise 的单次评分；可读性，1–5，越高越清晰。,0
rating_participant_wide.csv,n3_mask_noise_stability,条件 n3_mask_noise 的单次评分；稳定感，原字段 flicker，1–5，越高表示越少闪烁，不反向计分。,0
rating_participant_wide.csv,n3_mask_noise_immediate_comfort,条件 n3_mask_noise 的单次评分；即时视觉舒适感，原字段 fatigue，1–5，越高越舒适；不是临床疲劳量表。,0
rating_participant_wide.csv,n4_mask_noise_readability,条件 n4_mask_noise 的单次评分；可读性，1–5，越高越清晰。,0
rating_participant_wide.csv,n4_mask_noise_stability,条件 n4_mask_noise 的单次评分；稳定感，原字段 flicker，1–5，越高表示越少闪烁，不反向计分。,0
rating_participant_wide.csv,n4_mask_noise_immediate_comfort,条件 n4_mask_noise 的单次评分；即时视觉舒适感，原字段 fatigue，1–5，越高越舒适；不是临床疲劳量表。,0
rating_participant_wide.csv,n2_mask_noise_readability,条件 n2_mask_noise 的单次评分；可读性，1–5，越高越清晰。,0
rating_participant_wide.csv,n2_mask_noise_stability,条件 n2_mask_noise 的单次评分；稳定感，原字段 flicker，1–5，越高表示越少闪烁，不反向计分。,0
rating_participant_wide.csv,n2_mask_noise_immediate_comfort,条件 n2_mask_noise 的单次评分；即时视觉舒适感，原字段 fatigue，1–5，越高越舒适；不是临床疲劳量表。,0
rating_participant_wide.csv,n4_mask_only_readability,条件 n4_mask_only 的单次评分；可读性，1–5，越高越清晰。,0
rating_participant_wide.csv,n4_mask_only_stability,条件 n4_mask_only 的单次评分；稳定感，原字段 flicker，1–5，越高表示越少闪烁，不反向计分。,0
rating_participant_wide.csv,n4_mask_only_immediate_comfort,条件 n4_mask_only 的单次评分；即时视觉舒适感，原字段 fatigue，1–5，越高越舒适；不是临床疲劳量表。,0
rating_participant_wide.csv,control_anchor_readability,条件 control_anchor 的单次评分；可读性，1–5，越高越清晰。,0
rating_participant_wide.csv,control_anchor_stability,条件 control_anchor 的单次评分；稳定感，原字段 flicker，1–5，越高表示越少闪烁，不反向计分。,0
rating_participant_wide.csv,control_anchor_immediate_comfort,条件 control_anchor 的单次评分；即时视觉舒适感，原字段 fatigue，1–5，越高越舒适；不是临床疲劳量表。,0
rating_participant_wide.csv,deployed_full_readability,条件 deployed_full 的单次评分；可读性，1–5，越高越清晰。,0
rating_participant_wide.csv,deployed_full_stability,条件 deployed_full 的单次评分；稳定感，原字段 flicker，1–5，越高表示越少闪烁，不反向计分。,0
rating_participant_wide.csv,deployed_full_immediate_comfort,条件 deployed_full 的单次评分；即时视觉舒适感，原字段 fatigue，1–5，越高越舒适；不是临床疲劳量表。,0
rating_trials.csv,participant_code,本轮匿名代号；与既有 P001–P106 一致，原始 pid 映射仅见本地 audit。,0
rating_trials.csv,batch_id,july=7月；sep08=9月8日；sep10_12=9月10/12日。保留采集批次，不能据此分离日期、浏览器、色深的因果作用。,0
rating_trials.csv,condition,条件编码；typing 为 control/masked；rating 六种，参见分析计划。,0
rating_trials.csv,order_index,评分呈现顺序，0–5。,0
rating_trials.csv,n,实际子帧层数，control=1。,0
rating_trials.csv,view_duration_ms,每个评分条件观看时长，毫秒。,0
rating_trials.csv,readability,可读性，1–5，越高越清晰。,0
rating_trials.csv,stability,稳定感，原字段 flicker，1–5，越高表示越少闪烁，不反向计分。,0
